Hugo_Symbol,ensembl_gene_id,start_position,end_position,strand,transcript_count,percentage_gene_gc_content,gene_biotype
ABCF1,"ENSG00000204574, ENSG00000236149, ENSG00000236342, ENSG00000206490, ENSG00000232169, ENSG00000231129, ENSG00000225989","30571376, 30561217, 30649829, 30560870, 30561610, 30616012, 30563598","30597179, 30587022, 30675633, 30586674, 30587416, 30641816, 30589402",1,7,"47.97, 47.93, 47.96, 48.02",protein_coding
ABCF2,ENSG00000033050,151212490,151227230,-1,5,48.51,protein_coding
ABCF2P1,ENSG00000242159,88317156,88319022,1,1,49.76,processed_pseudogene
ABCF2P2,ENSG00000228769,72103181,72104209,1,1,49.27,unprocessed_pseudogene
ABCF3,ENSG00000161204,184186023,184194012,1,18,51.95,protein_coding
ABCG1,ENSG00000160179,42199689,42297244,1,11,51.02,protein_coding
ABCG2,ENSG00000118777,88090264,88231322,-1,4,41.4,protein_coding
ABCG4,ENSG00000172350,119149012,119162653,1,6,54.49,protein_coding
ABCG5,ENSG00000138075,43812472,43838865,-1,5,45.18,protein_coding
ABCG8,ENSG00000143921,43831942,43882987,1,4,46.22,protein_coding
ABHD1,ENSG00000143994,27123789,27130812,1,8,50.81,protein_coding
ABHD10,ENSG00000144827,111979010,111993363,1,5,35.84,protein_coding
ABHD11,ENSG00000106077,73736094,73738867,-1,14,59.95,protein_coding
ABHD11-AS1,ENSG00000225969,73735038,73736158,1,2,61.73,transcribed_unitary_pseudogene
ABHD12,ENSG00000100997,25294743,25390983,-1,9,47.42,protein_coding
ABHD12B,ENSG00000131969,50872160,50904970,1,9,42.81,protein_coding
ABHD13,ENSG00000139826,108218379,108234255,1,1,35.43,protein_coding
ABHD14A,ENSG00000248487,51971426,51981199,1,6,54.78,protein_coding
ABHD14A-ACY1,ENSG00000114786,51974706,51989183,1,29,55.64,protein_coding
ABHD14B,ENSG00000114779,51968510,51983409,-1,8,55.05,protein_coding
ABHD15,ENSG00000168792,29560547,29567137,-1,1,53.06,protein_coding
ABHD15-AS1,ENSG00000264031,29560547,29707090,1,1,48.97,antisense
ABHD16A,"ENSG00000206403, ENSG00000230475, ENSG00000231488, ENSG00000224552, ENSG00000204427, ENSG00000235676, ENSG00000236063","31677180, 31677699, 31669120, 31726403, 31686949, 31674358, 31763228","31693655, 31694178, 31685587, 31742871, 31703444, 31690824, 31779696",-1,"14, 16","50.32, 50.33, 50.36, 50.35",protein_coding
ABHD16B,ENSG00000183260,63861498,63862988,1,1,69.89,protein_coding
ABHD17A,ENSG00000129968,1876810,1885547,-1,6,65.16,protein_coding
ABHD17AP1,ENSG00000198658,148146395,148149566,1,1,67.31,unprocessed_pseudogene
ABHD17AP3,ENSG00000250536,214605470,214608840,-1,1,66.83,unprocessed_pseudogene
ABHD17AP4,ENSG00000229107,20667836,20670984,-1,1,67.29,processed_pseudogene
ABHD17AP5,ENSG00000263366,22114844,22118005,-1,1,67.65,processed_pseudogene
ABHD17AP6,ENSG00000226981,20814620,20844257,1,1,42.75,unprocessed_pseudogene
ABHD17AP7,ENSG00000260864,32726615,32729537,-1,1,67.02,unprocessed_pseudogene
ABHD17AP8,ENSG00000260540,32199902,32202822,1,1,67.13,unprocessed_pseudogene
ABHD17AP9,ENSG00000261536,33140850,33143797,1,1,66.89,unprocessed_pseudogene
ABHD17B,ENSG00000107362,71862452,71910931,-1,2,37.98,protein_coding
ABHD17C,ENSG00000136379,80679684,80755621,1,5,42.95,protein_coding
ABHD18,ENSG00000164074,127965306,128039927,1,7,39.8,protein_coding
ABHD2,ENSG00000140526,89087459,89202360,1,10,44.01,protein_coding
ABHD3,ENSG00000158201,21650897,21704805,-1,10,42.45,protein_coding
ABHD4,ENSG00000100439,22598237,22613215,1,10,48.25,protein_coding
ABHD5,ENSG00000011198,43690108,43734371,1,16,40.26,protein_coding
ABHD6,ENSG00000163686,58237506,58295693,1,7,45.11,protein_coding
ABHD8,ENSG00000127220,17292131,17310236,-1,3,54.9,protein_coding
ABI1,ENSG00000136754,26746593,26861087,-1,13,38.44,protein_coding
ABI1P1,ENSG00000271484,55546674,55548123,1,1,43.66,unprocessed_pseudogene
ABI2,ENSG00000138443,203328219,203447723,1,24,39.51,protein_coding
ABI3,ENSG00000108798,49210227,49223225,1,4,54.13,protein_coding
ABI3BP,ENSG00000154175,100749156,100993515,-1,29,37.02,protein_coding
ABL1,ENSG00000097007,130713946,130887675,1,3,44.47,protein_coding
ABL2,ENSG00000143322,179099327,179229684,-1,11,41.31,protein_coding
ABLIM1,ENSG00000099204,114431113,114685003,-1,15,42.59,protein_coding
ABLIM2,ENSG00000163995,7965310,8158832,-1,15,54,protein_coding
ABLIM3,ENSG00000173210,149141483,149260542,1,12,44.42,protein_coding
ABO,"ENSG00000175164, ENSG00000281879","133250401, 133255323","133275219, 133275362",-1,4,"48.77, 48.86",protein_coding
ABR,"ENSG00000276016, ENSG00000278741, ENSG00000159842","1003519, 1003518","1116206, 1192547, 1229738",-1,"31, 35, 36","56.63, 55.87, 55.27",protein_coding
ABRA,ENSG00000174429,106759483,106770245,-1,1,40.25,protein_coding
ABRACL,ENSG00000146386,139028682,139043302,1,2,44.2,protein_coding
ABRAXAS1,ENSG00000163322,83459517,83523348,-1,9,42.23,protein_coding
ABRAXAS2,ENSG00000165660,124801785,124836670,1,1,42.62,protein_coding
ABT1,ENSG00000146109,26596952,26600744,1,1,47.69,protein_coding
ABT1P1,ENSG00000250496,99022311,99023131,-1,1,56.27,processed_pseudogene
ABTB1,ENSG00000114626,127672935,127680920,1,15,60.38,protein_coding
ABTB2,ENSG00000166016,34150988,34358008,-1,2,47.92,protein_coding
ACAA1,ENSG00000060971,38103129,38137242,-1,20,51.46,protein_coding
ACAA2,ENSG00000167315,49782167,49813960,-1,7,39.54,protein_coding
ACACA,"ENSG00000275176, ENSG00000278540","37086456, 37084988","37411442, 37406818",-1,23,"41.28, 41.27",protein_coding
ACACB,ENSG00000076555,109116595,109268226,1,15,46.78,protein_coding
ACAD10,ENSG00000111271,111686056,111757107,1,24,47.12,protein_coding
ACAD11,ENSG00000240303,132558138,132660723,-1,10,37.61,protein_coding
ACAD8,ENSG00000151498,134253495,134265855,1,17,47.88,protein_coding
ACAD9,ENSG00000177646,128879596,128916067,1,12,49.2,protein_coding
ACADL,ENSG00000115361,210187939,210225491,-1,4,36.42,protein_coding
ACADM,ENSG00000117054,75724347,75787575,1,18,40.45,protein_coding
ACADS,ENSG00000122971,120725735,120740008,1,3,55.49,protein_coding
ACADSB,ENSG00000196177,123008979,123058311,1,4,40.72,protein_coding
ACADVL,ENSG00000072778,7217125,7225273,1,39,58.5,protein_coding
ACAN,ENSG00000157766,88803442,88875354,1,9,50.26,protein_coding
ACAP1,ENSG00000072818,7336529,7351478,1,12,54.56,protein_coding
ACAP2,ENSG00000114331,195274736,195443078,-1,16,38.17,protein_coding
ACAP2-IT1,ENSG00000229325,195280723,195282741,-1,1,33.33,sense_intronic
ACAP3,ENSG00000131584,1292376,1309609,-1,13,67.3,protein_coding
ACAT1,ENSG00000075239,108121516,108147776,1,12,42.49,protein_coding
ACAT2,ENSG00000120437,159760328,159779055,1,3,44.57,protein_coding
ACBD3,ENSG00000182827,226144679,226186730,-1,2,41.45,protein_coding
ACBD3-AS1,ENSG00000234478,226148003,226155071,1,1,41.24,antisense
ACBD4,ENSG00000181513,45132600,45144181,1,16,54.45,protein_coding
ACBD5,ENSG00000107897,27195214,27242130,-1,8,40.95,protein_coding
ACBD6,ENSG00000230124,180269653,180502954,-1,8,37.67,protein_coding
ACBD7,ENSG00000176244,15077523,15088776,-1,2,46.04,protein_coding
ACCS,ENSG00000110455,44065925,44084222,1,13,49.02,protein_coding
ACCSL,ENSG00000205126,44047981,44059977,1,2,47.51,protein_coding
ACD,ENSG00000102977,67657512,67660815,-1,16,62.02,protein_coding
ACE,ENSG00000159640,63477061,63498380,1,22,58.35,protein_coding
ACE2,ENSG00000130234,15561033,15602148,-1,5,38.39,protein_coding
ACE3P,ENSG00000224353,63507056,63519806,1,1,52.6,transcribed_unprocessed_pseudogene
ACER1,ENSG00000167769,6306142,6333629,-1,1,49.83,protein_coding
ACER2,ENSG00000177076,19409059,19452020,1,1,43.44,protein_coding
ACER3,ENSG00000078124,76860867,77026797,1,14,38.74,protein_coding
ACHE,ENSG00000087085,100889994,100896974,-1,13,64.49,protein_coding
ACIN1,ENSG00000100813,23058564,23095614,-1,23,45.36,protein_coding
ACKR1,ENSG00000213088,159203307,159206500,1,4,54.48,protein_coding
ACKR2,ENSG00000144648,42804752,42887974,1,11,44.24,protein_coding
ACKR3,ENSG00000144476,236567787,236582358,1,2,50.01,protein_coding
ACKR4,ENSG00000129048,132597237,132618967,1,2,37.17,protein_coding
ACLY,ENSG00000131473,41866908,41930542,-1,10,49.89,protein_coding
ACMSD,ENSG00000153086,134838547,134902034,1,4,39.53,protein_coding
ACNATP,ENSG00000227411,101334084,101339347,-1,1,44.51,unitary_pseudogene
ACO1,ENSG00000122729,32384603,32454769,1,3,41.71,protein_coding
ACO2,ENSG00000100412,41469125,41528989,1,7,50.27,protein_coding
ACOD1,ENSG00000102794,76948497,76958642,1,2,43.51,protein_coding
ACOT1,ENSG00000184227,73537114,73543794,1,2,49.47,protein_coding
ACOT11,ENSG00000162390,54542257,54639192,1,5,51.2,protein_coding
ACOT12,ENSG00000172497,81330005,81394179,-1,4,40.74,protein_coding
ACOT13,ENSG00000112304,24667035,24705065,1,3,41.43,protein_coding
ACOT2,ENSG00000119673,73567620,73575658,1,5,48.61,protein_coding
ACOT4,ENSG00000177465,73591706,73596496,1,1,48.17,protein_coding
ACOT6,ENSG00000205669,73610945,73619888,1,3,47.45,protein_coding
ACOT7,ENSG00000097021,6264269,6394391,-1,10,54,protein_coding
ACOT8,ENSG00000101473,45841721,45857406,-1,12,49.06,protein_coding
ACOT9,ENSG00000123130,23702253,23766475,-1,8,44.61,protein_coding
ACOX1,ENSG00000161533,75941507,75979363,-1,13,44.33,protein_coding
ACOX2,ENSG00000168306,58505136,58537319,-1,13,47.22,protein_coding
ACOX3,ENSG00000087008,8366282,8440723,-1,8,51.93,protein_coding
ACOXL,ENSG00000153093,110732573,111118222,1,10,42.65,protein_coding
ACOXL-AS1,ENSG00000204581,111098345,111115588,-1,2,40.14,antisense
ACP1,ENSG00000143727,264140,278283,1,13,42.67,protein_coding
ACP2,ENSG00000134575,47239302,47248906,-1,14,52.75,protein_coding
ACP4,ENSG00000142513,50790415,50795224,1,1,58.05,protein_coding
ACP5,ENSG00000102575,11574660,11579008,-1,14,58.59,protein_coding
ACP6,ENSG00000162836,147629652,147670496,-1,10,43.64,protein_coding
ACP7,ENSG00000183760,39083913,39111493,1,4,49.67,protein_coding
ACPP,ENSG00000014257,132317367,132368298,1,9,40.4,protein_coding
ACR,"ENSG00000100312, ENSG00000283539","50738196, 50738219","50745334, 50745351",1,4,"55.48, 55.6",protein_coding
ACRBP,ENSG00000111644,6638075,6647460,-1,9,51.76,protein_coding
ACRV1,ENSG00000134940,125671522,125681123,-1,4,41.76,protein_coding
ACSBG1,ENSG00000103740,78167468,78245688,-1,14,48.23,protein_coding
ACSBG2,ENSG00000130377,6135247,6193094,1,13,45.82,protein_coding
ACSF2,ENSG00000167107,50426158,50474845,1,25,49.96,protein_coding
ACSF3,ENSG00000176715,89088375,89164121,1,19,55.16,protein_coding
ACSL1,ENSG00000151726,184755595,184826818,-1,12,44.71,protein_coding
ACSL3,ENSG00000123983,222860934,222944639,1,11,39.46,protein_coding
ACSL4,ENSG00000068366,109624244,109733403,-1,12,39.16,protein_coding
ACSL5,ENSG00000197142,112374018,112428380,1,9,42.89,protein_coding
ACSL6,ENSG00000164398,131949973,132012243,-1,21,48.14,protein_coding
ACSM1,ENSG00000166743,20623237,20698890,-1,6,40.48,protein_coding
ACSM2A,ENSG00000183747,20451461,20487667,1,16,40.51,protein_coding
ACSM2B,ENSG00000066813,20536226,20576427,-1,19,39.17,protein_coding
ACSM3,ENSG00000005187,20610243,20797581,1,15,41.08,protein_coding
ACSM4,ENSG00000215009,7304284,7328724,1,2,40.4,protein_coding
ACSM5,ENSG00000183549,20409534,20441336,1,7,42.36,protein_coding
ACSM5P1,ENSG00000260762,20586550,20607107,-1,1,43.82,unprocessed_pseudogene
ACSM6,ENSG00000173124,95194200,95228928,1,4,39.78,protein_coding
ACSS1,ENSG00000154930,25006230,25058980,-1,5,52,protein_coding
ACSS2,ENSG00000131069,34872146,34927962,1,24,45.42,protein_coding
ACSS3,ENSG00000111058,80936414,81261205,1,8,35.63,protein_coding
ACTA1,ENSG00000143632,229431245,229434098,-1,2,62.54,protein_coding
ACTA2,ENSG00000107796,88935074,88991339,-1,6,40.29,protein_coding
ACTA2-AS1,ENSG00000180139,88932390,88940820,1,4,43.42,antisense
ACTB,ENSG00000075624,5527147,5563784,-1,19,56.7,protein_coding
ACTBL2,ENSG00000169067,57480016,57482809,-1,1,40.19,protein_coding
ACTBP1,ENSG00000229145,46288016,46289128,-1,1,54.9,processed_pseudogene
ACTBP11,ENSG00000188460,223863726,223864851,-1,1,57.82,processed_pseudogene
ACTBP12,ENSG00000233125,92229018,92229435,-1,1,55.5,processed_pseudogene
ACTBP13,ENSG00000234667,49873347,49877305,-1,1,56.66,unitary_pseudogene
ACTBP14,ENSG00000229001,69022778,69023866,1,1,56.75,processed_pseudogene
ACTBP2,ENSG00000213763,77784881,77786003,1,1,58.33,processed_pseudogene
ACTBP6,ENSG00000203413,84948585,84949674,1,1,50.28,processed_pseudogene
ACTBP7,ENSG00000185607,43989061,43990184,-1,1,57.3,processed_pseudogene
ACTBP8,ENSG00000220267,88275882,88276989,-1,1,58.21,processed_pseudogene
ACTBP9,ENSG00000266920,62442028,62443126,1,1,58.05,processed_pseudogene
ACTC1,ENSG00000159251,34788095,34795726,-1,6,45.2,protein_coding
ACTG1,ENSG00000184009,81509971,81523847,-1,17,61.09,protein_coding
ACTG1P1,ENSG00000178631,139493809,139494937,1,1,54.38,processed_pseudogene
ACTG1P10,ENSG00000231340,53142832,53143913,-1,1,56.65,processed_pseudogene
ACTG1P11,ENSG00000229465,18147884,18149008,1,1,55.02,processed_pseudogene
ACTG1P12,ENSG00000226642,12070195,12071360,1,1,56.43,processed_pseudogene
ACTG1P13,ENSG00000241305,99215224,99216266,-1,1,40.94,processed_pseudogene
ACTG1P14,ENSG00000230581,6834456,6835577,1,1,57.31,processed_pseudogene
ACTG1P15,ENSG00000259904,34373541,34374603,-1,1,53.9,processed_pseudogene
ACTG1P16,ENSG00000260298,50058150,50059231,-1,1,57.12,transcribed_processed_pseudogene
ACTG1P17,ENSG00000259315,82725873,82738904,-1,3,44.11,transcribed_processed_pseudogene
ACTG1P18,ENSG00000218475,101430411,101431553,-1,1,51.88,processed_pseudogene
ACTG1P19,ENSG00000237999,100731240,100732355,1,1,56.99,processed_pseudogene
ACTG1P2,ENSG00000229129,17757001,17758125,-1,1,55.02,processed_pseudogene
ACTG1P20,ENSG00000241547,27325329,27325796,1,1,55.56,processed_pseudogene
ACTG1P21,ENSG00000232672,77773865,77774864,-1,1,56.4,processed_pseudogene
ACTG1P22,ENSG00000271615,57755428,57766052,1,2,41.68,transcribed_processed_pseudogene
ACTG1P23,ENSG00000230362,175977497,175978570,-1,1,57.26,processed_pseudogene
ACTG1P24,ENSG00000226359,17242010,17242886,1,1,55.99,processed_pseudogene
ACTG1P3,ENSG00000215388,1160584,1161697,1,1,55.12,processed_pseudogene
ACTG1P4,ENSG00000236085,103569553,103570674,1,1,54.63,processed_pseudogene
ACTG1P9,ENSG00000229349,46204729,46207386,1,1,50.15,processed_pseudogene
ACTG2,ENSG00000163017,73892314,73919865,1,9,45.18,protein_coding
ACTL10,ENSG00000182584,33666498,33668525,1,1,66.47,protein_coding
ACTL6A,ENSG00000136518,179562880,179588408,1,14,39.25,protein_coding
ACTL6B,ENSG00000077080,100643097,100656461,-1,6,53.08,protein_coding
ACTL7A,ENSG00000187003,108862266,108863759,1,1,57.1,protein_coding
ACTL7B,ENSG00000148156,108854589,108856967,-1,1,57.97,protein_coding
ACTL8,ENSG00000117148,17755313,17827063,1,2,48.15,protein_coding
ACTL9,ENSG00000181786,8697397,8698822,-1,2,66.27,protein_coding
ACTN1,ENSG00000072110,68874143,68979440,-1,21,50.81,protein_coding
ACTN1-AS1,ENSG00000259062,68979682,68987463,1,2,47.31,antisense
ACTN2,ENSG00000077522,236686454,236764631,1,7,43.06,protein_coding
ACTN3,ENSG00000248746,66546395,66563329,1,3,56.47,protein_coding
ACTN4,"ENSG00000130402, ENSG00000282844",38647649,38731583,1,11,53.01,protein_coding
ACTN4P1,ENSG00000213493,116598161,116599611,1,1,60.51,processed_pseudogene
ACTN4P2,ENSG00000214141,37776670,37779418,1,1,51,processed_pseudogene
ACTP1,ENSG00000229890,108099110,108099492,1,1,53.52,processed_pseudogene
ACTR10,ENSG00000131966,58200080,58235636,1,16,38.67,protein_coding
ACTR1A,ENSG00000138107,102461881,102502711,-1,7,50.48,protein_coding
ACTR1B,ENSG00000115073,97655963,97664107,-1,3,58.67,protein_coding
ACTR2,ENSG00000138071,65227753,65271253,1,5,39.48,protein_coding
ACTR3,ENSG00000115091,113889960,113962596,1,8,36.61,protein_coding
ACTR3B,ENSG00000133627,152759749,152855378,1,5,43.36,protein_coding
ACTR3BP1,ENSG00000270242,11395699,11397076,1,1,42.16,processed_pseudogene
ACTR3BP2,ENSG00000226481,91940668,91942040,1,1,42.46,processed_pseudogene
ACTR3BP3,ENSG00000260327,32379071,32380049,-1,1,40.45,processed_pseudogene
ACTR3BP4,ENSG00000249283,102961956,102963327,1,1,43.29,processed_pseudogene
ACTR3BP5,ENSG00000227264,38696424,38697902,1,1,42.66,processed_pseudogene
ACTR3BP6,ENSG00000226444,11124337,11125705,1,1,42.59,processed_pseudogene
ACTR3C,ENSG00000106526,150243916,150323725,-1,6,43.31,protein_coding
ACTR3P2,ENSG00000232267,68771322,68772578,1,1,40.25,processed_pseudogene
ACTR3P3,ENSG00000242573,101163094,101163986,1,1,40.87,processed_pseudogene
ACTR5,ENSG00000101442,38748442,38772520,1,1,44.84,protein_coding
ACTR6,ENSG00000075089,100199122,100241865,1,13,41,protein_coding
ACTR6P1,ENSG00000248915,106836498,106837601,-1,1,36.05,processed_pseudogene
ACTR8,ENSG00000113812,53867066,53882202,-1,6,42.11,protein_coding
ACTRT1,ENSG00000123165,128050962,128052398,-1,1,48.78,protein_coding
ACTRT2,ENSG00000169717,3021483,3022903,1,1,61.51,protein_coding
ACTRT3,ENSG00000184378,169766921,169769895,-1,1,49.41,protein_coding
ACVR1,ENSG00000115170,157736444,157875862,-1,10,40.31,protein_coding
ACVR1B,ENSG00000135503,51951667,51997078,1,7,44.84,protein_coding
ACVR1C,ENSG00000123612,157526767,157629005,-1,4,36.88,protein_coding
ACVR2A,ENSG00000121989,147844517,147930826,1,7,35.46,protein_coding
ACVR2B,ENSG00000114739,38453851,38493142,1,3,47.64,protein_coding
ACVR2B-AS1,ENSG00000229589,38451027,38454820,-1,1,56.48,antisense
ACVRL1,ENSG00000139567,51906908,51923361,1,8,54.84,protein_coding
ACY1,ENSG00000243989,51983278,51989202,1,29,57.5,protein_coding
ACY3,ENSG00000132744,67642555,67650659,-1,2,57.67,protein_coding
ACYP1,ENSG00000119640,75053221,75069483,-1,6,41.66,protein_coding
ACYP2,ENSG00000170634,53970838,54305300,1,9,40.31,protein_coding
ADA,ENSG00000196839,44619522,44652233,-1,9,53.46,protein_coding
ADA2,ENSG00000093072,17178790,17258235,-1,19,48.88,protein_coding
ADAD1,ENSG00000164113,122378966,122429802,1,7,36.55,protein_coding
ADAD1P2,ENSG00000267511,50063795,50064440,1,1,39.63,processed_pseudogene
ADAD2,ENSG00000140955,84191138,84197168,1,9,58.6,protein_coding
ADAL,ENSG00000168803,43330657,43354555,1,8,39.86,protein_coding
ADAM10,ENSG00000137845,58588807,58749978,-1,17,37.38,protein_coding
